日付け,終値,始値,高値,安値,出来高,前日比%
2020年3月16日,"408,800","582,013","582,781","507,474",20.58K,-6.04%
2020年3月15日,"414,604","565,722","643,017","559,983",10.30K,2.91%
2020年3月14日,"412,408","616,477","620,000","555,000",10.92K,-8.22%
2020年3月13日,"438,294","517,999","691,880","441,900",23.57K,18.89%
2020年3月12日,"434,499","832,286","835,000","501,610",19.74K,-37.70%
2020年3月11日,"434,938","831,329","838,730","797,280",8.22K,0.17%
2020年3月10日,"433,332","820,583","857,021","805,272",9.53K,1.30%
2020年3月9日,"393,876","837,484","852,920","784,400",13.05K,-2.12%
2020年3月8日,"395,305","940,979","940,979","835,490",8.25K,-10.95%
2020年3月7日,"393,909","966,010","971,859","935,717",3.74K,-2.59%
2020年3月6日,"381,873","963,433","970,922","952,850",3.46K,0.28%
2020年3月5日,"397,000","944,324","979,510","944,324",4.62K,2.01%
2020年3月4日,"390,100","938,769","953,477","932,778",3.87K,0.59%
2020年3月3日,"394,024","968,732","969,894","931,421",5.10K,-3.09%
2020年3月2日,"397,252","920,400","973,530","917,281",6.62K,5.17%
2020年3月1日,"396,762","923,395","946,998","915,130",5.34K,-0.26%
2020年2月29日,"405,253","941,169","951,989","923,170",4.22K,-1.88%
2020年2月28日,"388,607","965,988","973,740","917,640",8.22K,-2.57%
2020年2月27日,"387,778","970,306","987,900","938,765",8.66K,-0.39%
2020年2月26日,"391,060","1,027,477","1,033,310","955,000",9.48K,-5.62%
2020年2月25日,"389,000","1,071,701","1,072,942","1,020,000",5.78K,-4.13%
2020年2月24日,"391,350","1,111,020","1,117,210","1,050,000",5.59K,-3.54%
2020年2月23日,"389,999","1,078,573","1,115,555","1,078,000",3.80K,3.01%
2020年2月22日,"389,483","1,082,615","1,085,398","1,069,285",1.44K,-0.37%
2020年2月21日,"386,442","1,075,610","1,093,579","1,072,470",3.53K,0.58%
2020年2月20日,"374,884","1,067,343","1,085,000","1,052,610",5.33K,0.75%
2020年2月19日,"371,160","1,118,807","1,141,950","1,054,000",6.98K,-4.50%
2020年2月18日,"373,707","1,066,850","1,129,629","1,055,815",6.24K,4.89%
2020年2月17日,"370,400","1,091,360","1,099,200","1,042,270",6.03K,-2.32%
2020年2月16日,"375,637","1,087,798","1,104,590","1,066,000",5.20K,0.38%
2020年2月15日,"378,887","1,137,555","1,140,467","1,080,430",4.19K,-4.37%
2020年2月14日,"373,695","1,124,591","1,139,700","1,110,166",4.69K,1.15%
2020年2月13日,"374,521","1,136,950","1,150,408","1,106,170",8.39K,-1.09%
2020年2月12日,"376,402","1,123,524","1,149,999","1,123,524",6.88K,1.19%
2020年2月11日,"369,749","1,081,510","1,133,333","1,066,002",6.26K,3.88%
2020年2月10日,"368,506","1,110,975","1,116,500","1,073,000",5.75K,-2.65%
2020年2月9日,"396,319","1,086,240","1,113,500","1,085,400",5.02K,2.28%
2020年2月8日,"395,754","1,076,199","1,090,499","1,061,000",3.44K,0.92%
2020年2月7日,"398,468","1,070,910","1,083,970","1,067,450",4.19K,0.51%
2020年2月6日,"394,797","1,053,671","1,083,148","1,046,690",6.57K,1.64%
2020年2月5日,"395,085","1,003,300","1,068,940","1,001,211",6.63K,5.02%
